Threshold,Accuracy,Precision,Recall,F1 Score,FAR,FRR
-0.02969882280733438,0.6385,0.6062931696085956,0.79,0.6860616587060356,0.513,0.21
-0.021526692872623765,0.6385,0.6069498069498069,0.786,0.6849673202614379,0.509,0.214
-0.01335456293791304,0.6425,0.6110678098207326,0.784,0.6868155935173017,0.499,0.216
-0.005182433003202425,0.6445,0.6142292490118577,0.777,0.686092715231788,0.488,0.223
0.002989696931508301,0.6495,0.6196957566052842,0.774,0.6883059137394397,0.475,0.226
0.011161826866218916,0.654,0.6254071661237784,0.768,0.689407540394973,0.46,0.232
0.01933395680092964,0.656,0.628500823723229,0.763,0.6892502258355917,0.451,0.237
0.027506086735640256,0.659,0.632279534109817,0.76,0.6902815622161671,0.442,0.24
0.03567821667035087,0.663,0.6374367622259697,0.756,0.6916742909423604,0.43,0.244
0.043850346605061596,0.6645,0.64,0.752,0.6914942528735633,0.423,0.248
0.05202247653977221,0.663,0.6402753872633391,0.744,0.6882516188714154,0.418,0.256
0.06019460647448294,0.665,0.6434782608695652,0.74,0.6883720930232557,0.41,0.26
0.06836673640919355,0.665,0.6449912126537786,0.734,0.6866230121608979,0.404,0.266
0.07653886634390428,0.667,0.6493738819320215,0.726,0.6855524079320114,0.392,0.274
0.08471099627861489,0.6685,0.6527651858567544,0.72,0.6847360912981456,0.383,0.28
0.0928831262133255,0.67,0.6559633027522935,0.715,0.6842105263157894,0.375,0.285
0.10105525614803623,0.6755,0.6647887323943662,0.708,0.6857142857142857,0.357,0.292
0.10922738608274685,0.68,0.6711026615969582,0.706,0.6881091617933723,0.346,0.294
0.11739951601745757,0.68,0.6740812379110251,0.697,0.6853490658800393,0.337,0.303
0.1255716459521682,0.6815,0.6777668952007836,0.692,0.6848095002474023,0.329,0.308
0.1337437758868789,0.684,0.6847389558232931,0.682,0.6833667334669339,0.314,0.318
0.14191590582158953,0.682,0.6872427983539094,0.668,0.6774847870182557,0.304,0.332
0.15008803575630025,0.6825,0.6903023983315955,0.662,0.6758550280755488,0.297,0.338
0.15826016569101087,0.681,0.6913319238900634,0.654,0.6721479958890031,0.292,0.346
0.16643229562572148,0.6835,0.6966773847802786,0.65,0.6725297465080187,0.283,0.35
0.1746044255604322,0.6875,0.7044711014176663,0.646,0.6739697443922795,0.271,0.354
0.18277655549514282,0.687,0.7082405345211581,0.636,0.6701791359325606,0.262,0.364
0.19094868542985355,0.691,0.7155756207674944,0.634,0.6723223753976669,0.252,0.366
0.19912081536456416,0.6905,0.718213058419244,0.627,0.6695141484249867,0.246,0.373
0.2072929452992749,0.69,0.7199074074074074,0.622,0.6673819742489271,0.242,0.378
0.2154650752339855,0.6885,0.7209847596717468,0.615,0.6637884511602806,0.238,0.385
0.22363720516869623,0.6895,0.7258641239570918,0.609,0.6623164763458401,0.23,0.391
0.23180933510340684,0.692,0.7330097087378641,0.604,0.662280701754386,0.22,0.396
0.23998146503811746,0.692,0.7382133995037221,0.595,0.6589147286821705,0.211,0.405
0.24815359497282818,0.695,0.7468354430379747,0.59,0.659217877094972,0.2,0.41
0.2563257249075388,0.6945,0.7503217503217503,0.583,0.6561620709060214,0.194,0.417
0.2644978548422495,0.694,0.7552631578947369,0.574,0.6522727272727272,0.186,0.426
0.27266998477696014,0.693,0.7608108108108108,0.563,0.6471264367816091,0.177,0.437
0.28084211471167086,0.6925,0.7640603566529492,0.557,0.6443030653556969,0.172,0.443
0.2890142446463815,0.691,0.7645429362880887,0.552,0.6411149825783973,0.17,0.448
0.2971863745810921,0.6905,0.7702127659574468,0.543,0.636950146627566,0.162,0.457
0.3053585045158028,0.691,0.7744252873563219,0.539,0.6356132075471699,0.157,0.461
0.31353063445051343,0.6965,0.787701317715959,0.538,0.6393345216874629,0.145,0.462
0.32170276438522416,0.698,0.7964071856287425,0.532,0.6378896882494005,0.136,0.468
0.3298748943199348,0.698,0.803680981595092,0.524,0.6343825665859565,0.128,0.476
0.3380470242546455,0.6975,0.8110236220472441,0.515,0.6299694189602447,0.12,0.485
