Threshold,Accuracy,Precision,Recall,F1 Score,FAR,FRR,EER
0.012857459673398353,0.647,0.6177884615384616,0.771,0.6859430604982206,0.477,0.229,0.353
0.020882926388913536,0.6495,0.6212489862124899,0.766,0.6860725481415137,0.467,0.234,0.35050000000000003
0.02890839310442872,0.652,0.6245901639344262,0.762,0.6864864864864865,0.458,0.238,0.348
0.036933859819943904,0.66,0.6335559265442404,0.759,0.6906278434940856,0.439,0.241,0.33999999999999997
0.04495932653545909,0.6605,0.6354430379746835,0.753,0.6892448512585811,0.432,0.247,0.3395
0.05298479325097427,0.664,0.6404109589041096,0.748,0.6900369003690037,0.42,0.252,0.33599999999999997
0.061010259966489455,0.6675,0.645273200346921,0.744,0.6911286576869484,0.409,0.256,0.3325
0.06903572668200464,0.6685,0.6481970096745823,0.737,0.6897519887693028,0.4,0.263,0.3315
0.07706119339751993,0.6735,0.6553267681289168,0.732,0.6915446386395843,0.385,0.268,0.3265
0.08508666011303512,0.6745,0.6587807097361238,0.724,0.6898523106241067,0.375,0.276,0.3255
0.0931121268285503,0.678,0.6645101663585952,0.719,0.6906820365033621,0.363,0.281,0.322
0.10113759354406548,0.6795,0.6682286785379569,0.713,0.6898887276245766,0.354,0.287,0.3205
0.10916306025958067,0.682,0.6730038022813688,0.708,0.6900584795321638,0.344,0.292,0.31799999999999995
0.11718852697509585,0.6835,0.6776379477250726,0.7,0.6886374815543531,0.333,0.3,0.3165
0.12521399369061104,0.6805,0.677134445534838,0.69,0.6835066864784547,0.329,0.31,0.3195
0.13323946040612622,0.686,0.6856287425149701,0.687,0.6863136863136864,0.315,0.313,0.314
0.1412649271216414,0.685,0.6876267748478702,0.678,0.6827794561933536,0.308,0.322,0.315
0.1492903938371566,0.684,0.6896907216494845,0.669,0.6791878172588832,0.301,0.331,0.316
0.15731586055267177,0.6855,0.6950578338590957,0.661,0.6776012301383906,0.29,0.339,0.3145
0.16534132726818696,0.6885,0.7007454739084132,0.658,0.6787003610108303,0.281,0.342,0.3115
0.17336679398370225,0.689,0.7041036717062635,0.652,0.6770508826583593,0.274,0.348,0.311
0.18139226069921743,0.69,0.7101769911504425,0.642,0.6743697478991597,0.262,0.358,0.31
0.18941772741473262,0.6905,0.7142857142857143,0.635,0.6723133933298042,0.254,0.365,0.3095
0.1974431941302478,0.693,0.7193181818181819,0.633,0.6734042553191489,0.247,0.367,0.307
0.20546866084576298,0.693,0.7228637413394919,0.626,0.6709539121114684,0.24,0.374,0.307
0.21349412756127817,0.6925,0.7246207701283547,0.621,0.6688206785137318,0.236,0.379,0.3075
0.22151959427679335,0.6965,0.7347670250896058,0.615,0.6695699510070767,0.222,0.385,0.3035
0.22954506099230854,0.6975,0.7399756986634265,0.609,0.6681294569391114,0.214,0.391,0.3025
0.23757052770782372,0.6955,0.7428571428571429,0.598,0.6626038781163436,0.207,0.402,0.3045
0.2455959944233389,0.698,0.75,0.594,0.6629464285714286,0.198,0.406,0.30200000000000005
0.2536214611388541,0.701,0.7576923076923077,0.591,0.6640449438202246,0.189,0.409,0.299
0.26164692785436927,0.7005,0.762778505897772,0.582,0.6602382302892796,0.181,0.418,0.2995
0.26967239456988445,0.701,0.7694369973190348,0.574,0.6575028636884307,0.172,0.426,0.299
0.27769786128539975,0.7025,0.7762619372442019,0.569,0.6566647432198499,0.164,0.431,0.2975
0.28572332800091493,0.703,0.7819444444444444,0.563,0.6546511627906977,0.157,0.437,0.297
0.2937487947164301,0.7,0.78328611898017,0.553,0.6483001172332943,0.153,0.447,0.3
0.3017742614319453,0.702,0.7902298850574713,0.55,0.6485849056603774,0.146,0.45,0.298
0.3097997281474605,0.7005,0.7927007299270074,0.543,0.6445103857566766,0.142,0.457,0.2995
0.31782519486297567,0.701,0.7991071428571429,0.537,0.6423444976076556,0.135,0.463,0.29900000000000004
0.32585066157849085,0.6995,0.8045801526717558,0.527,0.636858006042296,0.128,0.473,0.3005
0.33387612829400604,0.702,0.8136645962732919,0.524,0.637469586374696,0.12,0.476,0.298
